year,comm_name,value_usd,landings_mt,landings_kg,landings_lb,price_usd_lb,average_temp
2003,Dungeness crab,35673648,10186.5,10186500,22457385.466410004,1.59,15.856765838701724
2004,Dungeness crab,41152549,11519.4,11519400,25395926.583396003,1.62,15.942036749867516
2005,Dungeness crab,18258187,4933.4,4933400,10876283.852156,1.68,15.693732820938612
2006,Dungeness crab,45248595,11905,11905000,26246028.957700003,1.72,15.521851679568837
2007,Dungeness crab,26915935,5005.2,5005200,11034575.736168,2.44,15.264978162834264
2008,Dungeness crab,22528357,3890.6,3890600,8577303.676004,2.63,14.827833201931812
2009,Dungeness crab,30641898,6932.7,6932700,15283985.296518002,2,15.319821394214744
2010,Dungeness crab,41201528,9983.5,9983500,22009847.13139,1.87,15.18923391137181
2011,Dungeness crab,51629974,9365.3,9365300,20646949.600802,2.5,15.04540869494758
2012,Dungeness crab,85624558,11701.8,11701800,25798049.698212,3.32,15.124938225066046
2013,Dungeness crab,89823365,14272.1,14272100,31464590.498714004,2.85,15.579076644862958
2014,Dungeness crab,66878343,8369.4,8369400,18451366.212396003,3.62,16.758029058109297
2015,Dungeness crab,17002331,1414.7,1414700,3118879.224398,5.45,17.2599708531913
2016,Dungeness crab,83196560,12102.8,12102800,26682103.256552003,3.12,16.456440389898546
2017,Dungeness crab,47005770,5842,5842000,12879403.710280001,3.65,15.96910119119164
2018,Dungeness crab,63600879,8536.9,8536900,18820640.454346,3.38,16.04005557056902
2019,Dungeness crab,51882436,7089.1,7089100,15628788.230494002,3.32,16.112375161089503
2020,Dungeness crab,30148816,3802.5,3802500,8383076.447850001,3.6,16.032802469885436
2021,Dungeness crab,5346677,532.3,532300,1173520.4715820001,4.56,15.423088717143468
2003,Dungeness crab,37092870,10854.5,10854500,23930073.189530004,1.55,15.856765838701724
2004,Dungeness crab,42826662,12370.6,12370600,27272501.119204003,1.57,15.942036749867516
2005,Dungeness crab,26522935,8042.4,8042400,17730454.707216002,1.5,15.693732820938612
2006,Dungeness crab,53806817,15112,15112000,33316252.80208,1.62,15.521851679568837
2007,Dungeness crab,38201827,7723,7723000,17026298.33182,2.24,15.264978162834264
2008,Dungeness crab,29196238,6308.3,6308300,13907419.107422002,2.1,14.827833201931812
2009,Dungeness crab,42408366,9913.8,9913800,21856184.954292003,1.94,15.319821394214744
2010,Dungeness crab,32747868,7197.9,7197900,15868651.141086001,2.06,15.18923391137181
2011,Dungeness crab,44689979,7829.2,7829200,17260429.224328,2.59,15.04540869494758
2012,Dungeness crab,29172280,3942.3,3942300,8691282.650982,3.36,15.124938225066046
2013,Dungeness crab,71208124,11808.7,11808700,26033723.826358,2.74,15.579076644862958
2014,Dungeness crab,48146905,5405.8,5405800,11917747.445572002,4.04,16.758029058109297
2015,Dungeness crab,12106313,1040.2,1040200,2293248.1580680003,5.28,17.2599708531913
2016,Dungeness crab,55734350,7128.4,7128400,15715429.888456002,3.55,16.456440389898546
2017,Dungeness crab,58728089,8625.8,8625800,19016631.380372003,3.09,15.96910119119164
2018,Dungeness crab,74521968,10493.9,10493900,23135086.373726003,3.22,16.04005557056902
2019,Dungeness crab,67929755,8634.3,8634300,19035370.670262,3.57,16.112375161089503
2020,Dungeness crab,72797935,9021.8,9021800,19889661.827012002,3.66,16.032802469885436
2021,Dungeness crab,16198445,1925.4,1925400,4244779.853436001,3.82,15.423088717143468
2003,Dungeness crab,56365992,15446.4,15446400,34053478.51257601,1.66,15.856765838701724
2004,Dungeness crab,28996084,6789.1,6789100,14967401.528494002,1.94,15.942036749867516
2005,Dungeness crab,50868239,14577.3,14577300,32137441.236882005,1.58,15.693732820938612
2006,Dungeness crab,43407335,11175.6,11175600,24637977.422904003,1.76,15.521851679568837
2007,Dungeness crab,54302327,10228.9,10228900,22550861.453626003,2.41,15.264978162834264
2008,Dungeness crab,53712471,9713.8,9713800,21415260.486292,2.51,14.827833201931812
2009,Dungeness crab,48961642,9399.6,9399600,20722568.147064,2.36,15.319821394214744
2010,Dungeness crab,58598532,10476.9,10476900,23097607.793946,2.54,15.18923391137181
2011,Dungeness crab,83990894,12366.8,12366800,27264123.554312002,3.08,15.04540869494758
2012,Dungeness crab,60598794,7729.5,7729500,17040628.37703,3.56,15.124938225066046
2013,Dungeness crab,86517026,12755,12755000,28119957.946700003,3.08,15.579076644862958
2014,Dungeness crab,80509046,8810,8810000,19422722.8154,4.15,16.758029058109297
2015,Dungeness crab,72818286,6859.3,6859300,15122166.016762001,4.82,17.2599708531913
2016,Dungeness crab,89161693,10359.2,10359200,22838123.744528003,3.9,16.456440389898546
2017,Dungeness crab,101390590,12485.9,12485900,27526694.075006004,3.68,15.96910119119164
2018,Dungeness crab,97886473,11110.8,11110800,24495117.895272,4,16.04005557056902
2019,Dungeness crab,85014968,9612.2,9612200,21191270.856548004,4.01,16.112375161089503
2020,Dungeness crab,51965291,6145.6,6145600,13548727.052704,3.84,16.032802469885436
